,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,2.64,0.73,-99.99,-5.36,1.67,8.65,1.25,50.21,2.45,-0.68,-99.99,7.07,0.6,1.01,-99.99,0.41,3.82,-8.21,3.05,-99.99,3.49,1.62,3.06,-0.65,0.52,-99.99,-99.99,4.77,-1.06,-2.4,4.85,1.31,-99.99,2.83,2.89,-99.99,4.5,1.35,-99.99,1.29,-0.79,-20.23,1.78,1.69,4.96,-0.94,7.14,-6.25,2.61
192608,0.37,3.95,-99.99,19.25,5.01,16.81,0.15,42.98,-2.86,4.79,-99.99,5.33,6.42,3.02,-99.99,2.53,0.72,7.37,-0.58,-99.99,7.08,3.5,1.12,-6.58,4.83,-99.99,-99.99,-0.26,3.64,4.55,-2,1.08,-99.99,3.92,2.08,-99.99,-3.4,6.89,-99.99,4,5.03,9.42,-0.45,-0.9,34.23,1.05,3.02,-0.17,3.48
192609,-3.15,1.72,-99.99,5.63,3.1,8.33,3.43,-4.91,1.76,-6.16,-99.99,4.4,-0.64,2.4,-99.99,-3.8,-1.94,-11.76,2.28,-99.99,0.78,1.97,-4.86,-7.09,2.75,-99.99,-99.99,0.23,3.56,-4.85,2.06,0.22,-99.99,-6.06,1.5,-99.99,-5.82,-0.63,-99.99,-6.64,0,0.32,-0.87,-0.14,-1.25,-0.07,-1.74,-7.23,-0.18
192610,0.55,-5.09,-99.99,-6.08,-1.63,-1.4,-6.49,5.37,-2.98,-1.12,-99.99,4.99,-1.82,-8.77,-99.99,1.87,-5.44,-8.59,-4.98,-99.99,-3.74,-5.62,-8.88,-13.36,-4.75,-99.99,-99.99,0.44,14.99,0.32,-2.98,-0.99,-99.99,-0.23,-2.39,-99.99,-15.92,0.21,-99.99,-4.9,-2.34,-6.21,-3.33,-2.05,-11.13,-3.46,-3.72,-3.77,-6.39
192611,-8.57,7.89,-99.99,11.29,9.58,0,0.33,-6.4,1.65,0.85,-99.99,3.66,8.61,5.34,-99.99,4.21,1.26,2.25,1.81,-99.99,-1.85,1.12,-1.62,6.61,6.88,-99.99,-99.99,5.27,-6.1,3.06,5.71,1.48,-99.99,-2.2,2.53,-99.99,-1.41,4.25,-99.99,2.6,0.42,-0.26,1.34,1.92,-3.7,1.79,-0.08,1.83,-0.41
192612,-6,-0.74,-99.99,-5.43,2.56,2.48,2.62,-3.29,2.2,1.63,-99.99,-3.08,1.81,3.87,-99.99,2.92,2.63,0.76,2.17,-99.99,4.18,-1.06,5.74,9.17,8.51,-99.99,-99.99,0.1,-3.98,6.62,1.72,1.62,-99.99,4.8,3.31,-99.99,7.27,10.14,-99.99,-3.28,1.11,1.4,2.8,3.34,-0.61,2.82,9.67,-0.04,-0.95
192701,-0.1,-1.77,-99.99,-3.33,-1.37,1.73,1.98,1.21,2.31,1.75,-99.99,4.78,6.67,0.18,-99.99,-4,-3.59,-3.55,0.13,-99.99,6.27,-0.31,-1.75,-2.29,-0.04,-99.99,-99.99,2.85,-1.72,4.73,-0.44,0.13,-99.99,5.6,3.57,-99.99,0.06,-3.01,-99.99,-2.05,7.39,-9.06,-2.63,1.85,-7.78,-0.01,-0.37,-3.24,-3.7
192702,8.49,2.67,-99.99,19.11,4.72,-6.12,2.48,10.31,4.48,1.71,-99.99,5.35,1.31,5.58,-99.99,0.99,3.58,8.01,8.23,-99.99,5.67,7.95,6.99,-3.91,7.27,-99.99,-99.99,5.37,2.31,4.61,4.88,6.98,-99.99,6.63,8.85,-99.99,11.68,3.68,-99.99,3.9,9.3,9.1,4.05,9.5,14.37,0.95,2.46,0.94,0.44
192703,-4.95,-4.3,-99.99,-8.69,1.26,-8.89,2.22,-7.83,-0.36,-0.85,-99.99,1.46,-0.87,-3.76,-99.99,-5.09,5.11,5.04,-3.19,-99.99,-2.26,-5.21,-0.67,0,0.16,-99.99,-99.99,0.39,0.5,-11.03,2.19,1.35,-99.99,-0.93,8.74,-99.99,-6.17,6.26,-99.99,-5.64,-0.16,29.55,-1.3,-0.98,-10.07,3.54,-2.46,-0.49,-0.61
192704,3.25,0.15,-99.99,-0.06,1.21,-0.41,-3.92,3.77,0.09,1.57,-99.99,-0.39,8.28,2.72,-99.99,3.06,3.74,-8.67,-0.18,-99.99,2.67,-1,-1.58,-11.48,5.67,-99.99,-99.99,2.98,-0.21,-4.66,1.69,0.58,-99.99,-0.75,7.64,-99.99,7.91,1.43,-99.99,3.99,1.37,-15.68,4.22,4.09,-1.89,2.98,1.33,1.39,4.81
192705,6.02,7.23,-99.99,23.04,5.55,-4.9,0.79,-1.48,9.39,8.72,-99.99,5.87,4.35,2.96,-99.99,5.57,9.05,-10.44,4.46,-99.99,6.1,2.83,3.78,31.94,11.85,-99.99,-99.99,-2.16,19.62,5.06,9.29,1.6,-99.99,19.29,5.18,-99.99,-0.45,5.63,-99.99,9.04,10.76,-5.3,2.26,3.76,6.17,14.85,5.17,4.47,3.22
192706,-3.65,-2.82,-99.99,15.97,0.3,-3.52,-5.83,-6,-5,-5.13,-99.99,3.43,3.72,4.67,-99.99,-3.31,-0.54,-13.78,-5.9,-99.99,-0.73,1.29,-6.71,14.49,-7.06,-99.99,-99.99,-2.69,-9.01,1.44,-3.3,-2.63,-99.99,-4.35,-1.44,-99.99,7.2,5.41,-99.99,-2.34,0.08,-5.69,-2.04,0.55,-11.01,3.59,2.08,-1.9,-6.36
192707,6.4,5.19,-99.99,6.63,7.03,1.5,-1.39,0.34,1.76,10.36,-99.99,11.23,7.53,7.1,-99.99,7.05,5.19,0.21,8.52,-99.99,5.77,5.79,9.36,-2.78,6.96,-99.99,-99.99,10.54,6.04,1.44,4.18,4.36,1.79,19.64,2.63,-99.99,27.16,6.89,-99.99,12.77,2.91,17.28,5.68,2.67,7.25,9.17,1.67,-1.56,4.85
192708,6.51,1.92,-99.99,-5.44,0.44,4.52,1.25,0.63,0.82,1.6,-99.99,-2.59,1.25,2.8,-99.99,-1.37,-4.34,-3.5,0.42,-99.99,-0.71,0.31,1.21,30.16,3.79,-99.99,-99.99,1.18,3.86,-3.1,6.17,1.31,2.86,3.47,3.64,-99.99,-24.83,0.75,-99.99,0.69,-3.49,-3.47,3.63,2.27,5.59,4.26,-0.61,2.44,6.33
192709,6.61,2.65,-99.99,11.71,3.18,1.39,-0.25,0.71,1.53,2.68,-99.99,8.72,4.91,0,-99.99,1.63,1.39,-2.48,0.02,-99.99,-0.54,4.45,1.98,17.65,-2.23,-99.99,-99.99,5.52,-1.95,5.13,9.42,5.2,-1.39,9.27,2.64,-99.99,7.2,3.01,-99.99,6.5,3.7,0.59,4.04,4.42,4.33,10.52,4.73,0.48,-0.93
192710,-5.02,-2.41,-99.99,0.5,-0.28,-3.04,-0.52,-5.2,-2.49,4.13,-99.99,2.38,6.26,-4.19,-99.99,-6.49,-2.2,-3.48,-7.35,-99.99,-1.7,-2.71,-4.98,-18.33,-3.43,-99.99,-99.99,-3.25,-11.62,-3.11,-4.68,-2.33,2.82,-0.46,-5.48,-99.99,-5.41,-7.6,-99.99,-0.81,-6.67,-10.74,-3.69,-1.3,3.66,12.02,-4.96,-3.03,-1.13
192711,35.73,7.87,-99.99,7.12,9.44,-9.4,6.23,6.35,1.98,3.5,-99.99,0.76,6.77,10.99,-99.99,1.54,6.37,-7.89,23.3,-99.99,11.62,17.16,14.61,19.39,7.06,-99.99,-99.99,18.07,13.81,9.06,5.96,3.66,-4.45,8.69,5.92,-99.99,23.04,8.86,-99.99,8.96,6.11,-0.55,11.07,1.32,9.25,8.78,6.72,6.69,13.61
192712,-4.72,7.14,-99.99,6.2,0.86,-10.36,-1.77,3.35,9.24,-1.34,-99.99,-0.13,-1.93,7.33,-99.99,1.34,0.52,16.97,6.94,-99.99,2.46,-0.92,6.54,40.56,3.42,-99.99,-99.99,8.69,-6.61,2.02,1.8,3.42,-5.11,-0.84,9.52,-99.99,-3.24,-3.42,-99.99,-0.63,-0.53,3.43,2.01,1.08,13.45,19.02,0.32,5.16,1.37
192801,-3.62,5.2,-99.99,1.85,2.17,-2.08,-3.75,2.68,4.21,8.26,-99.99,3.56,0.6,1.46,-99.99,2.65,8.24,2.98,7.35,-99.99,5.87,1.13,-1.69,1.53,0.26,-99.99,-99.99,17.85,-8.98,1.18,8.76,-1.85,0,13.52,6.95,-99.99,-3.86,-0.11,-99.99,1.72,-0.8,4.47,4.69,-0.55,-2.89,-2.75,13.22,6.36,7.74
192802,-1.69,-2.3,-99.99,-9.52,-4.13,-4.99,-0.78,-0.3,1.26,-3.14,-99.99,-1.33,-2.12,-2.11,-99.99,1.63,1.19,-0.63,-2.17,-99.99,-3.57,-0.01,-5.12,-9.77,-3.33,-99.99,-99.99,-1.98,-3.8,-1.67,-1.63,-0.38,-5.38,-5.33,-1.13,-99.99,2.19,1.6,-99.99,-0.59,-3.26,-11.93,-0.44,-1.72,-2.41,-0.15,-0.29,-8.05,-2.24
192803,0.91,4.72,-99.99,22.35,5.11,23.48,2.55,15.77,8.86,0.26,-99.99,11.3,7.79,7.59,-99.99,5.81,5.07,3.14,8.16,-99.99,3.49,20.23,14.72,24.83,6.55,-99.99,-99.99,10.13,1.69,7.09,4.95,3.2,5.6,4.18,-0.32,-99.99,8.94,3.26,-99.99,4.74,5.51,17.35,5.56,4.28,23.31,7.26,1.49,6.11,4.28
192804,-6.93,6.07,-99.99,5.43,-1.56,-4.19,1.74,1.63,2.51,10.54,-99.99,5.83,2.12,5.95,-99.99,-2.89,6.93,3.58,5.12,-99.99,21.6,6.37,4.21,61.83,3.77,-99.99,-99.99,5.15,2.76,30.58,10.94,2.41,7.27,9.91,4.55,-99.99,-1.41,1.69,-99.99,6.35,7.83,-2.94,6.76,-0.17,11.92,5.63,10.81,20.78,6.25
192805,0.85,4.39,-99.99,7.84,0.6,2.81,21.83,7.97,-3.23,-1.24,-99.99,4.95,8.34,1.13,-99.99,2.93,1.69,12.65,10.03,-99.99,1.17,15.63,10.76,19.93,-4.1,-99.99,-99.99,8.49,6.57,-5.36,1.7,6.53,-2.2,2.86,5.64,-99.99,6.07,6.15,-99.99,-2.13,2.37,11.12,3.48,9.33,-0.63,0.25,20.75,2.15,0.63
192806,-12.27,-6.95,-99.99,-5.36,-6.35,-14.73,-7.86,-11.68,-9.15,-8.49,-99.99,-1.84,-1.27,-5.71,-99.99,-7.82,-8.1,-7.72,-8.2,-99.99,-3.87,-5.38,-12.88,-11.69,-6.64,-99.99,-99.99,-10.43,-7.09,-5.94,-3.82,-6.27,-8.02,4.25,-5.25,-99.99,-1.32,-3.03,-99.99,-7.77,-4.95,3.86,-5.9,-3.83,-1.71,-7.98,-2.54,-12.26,-7.6
