,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,2.37,0.12,-99.99,-5.19,1.29,8.65,2.5,50.21,-0.48,8.08,-99.99,4.95,0.91,8.14,-99.99,0.39,2.46,-8.21,4.07,-99.99,5.43,3.18,16.39,-0.65,1.05,-99.99,-99.99,5.64,1.54,-1.4,7.04,0.83,-99.99,5.85,3.76,-99.99,1.31,1.35,-99.99,7.7,1.92,-23.79,0.07,1.87,4.61,-0.54,2.89,-5.77,5.2
192608,2.23,2.68,-99.99,27.03,6.5,16.81,-0.76,42.98,-3.58,-2.51,-99.99,4.2,4.26,5.5,-99.99,7.97,4.63,7.37,2.17,-99.99,2.06,2.1,4.23,-6.58,1.8,-99.99,-99.99,0.55,0.85,3.69,-1.69,2.17,-99.99,1.51,3.57,-99.99,-4.7,6.89,-99.99,-2.38,4.85,5.39,-0.75,-0.13,11.83,2.57,5.3,0.32,6.76
192609,-0.57,1.58,-99.99,4.02,1.26,8.33,6.42,-4.91,0.73,-0.51,-99.99,4.02,-0.26,5.33,-99.99,2.3,-0.11,-11.76,0.15,-99.99,0.36,-0.56,4.83,-7.09,2.88,-99.99,-99.99,1.74,0.3,-3.69,2.04,2.41,-99.99,0.81,4.23,-99.99,-6.04,-0.63,-99.99,-5.54,0.08,-7.87,0.25,-0.56,-1.75,0.72,-3.06,-4.81,-3.86
192610,-0.46,-3.68,-99.99,-3.31,1.06,-1.4,-5.09,5.37,-4.68,0.12,-99.99,3.47,-1.76,-4.76,-99.99,1,-4.42,-8.59,-3.85,-99.99,1.11,-5.73,-7.93,-13.36,-5.45,-99.99,-99.99,-3.2,2.23,-1.04,-2.63,-0.11,-99.99,1.81,-2.47,-99.99,-3.92,0.21,-99.99,-5.08,-2.62,-15.38,-2.2,-4.11,-11.82,-4.28,-5.74,-0.94,-8.49
192611,6.75,6.26,-99.99,7.29,4.55,0,1.82,-6.4,-0.54,1.87,-99.99,4.33,5.76,5.2,-99.99,3.1,2.2,2.25,3.86,-99.99,3.18,5.08,-0.66,6.61,7.89,-99.99,-99.99,8.46,-0.48,0.06,3.71,1.63,-99.99,0.78,3.28,-99.99,1.31,4.25,-99.99,3.84,1.61,4.67,6.52,4.33,-2.97,3.58,2.21,5.13,4
192612,-3.27,0.18,-99.99,-4.09,2.55,2.48,2.14,-3.29,2.56,0.6,-99.99,-3.28,1.15,5.37,-99.99,6.39,3.6,0.76,3.75,-99.99,5.02,-2.47,10.49,9.17,2.39,-99.99,-99.99,1.83,1.43,2.94,-0.17,1.99,-99.99,5.16,4.38,-99.99,-0.51,10.14,-99.99,-4.63,3.67,9.65,0.57,1.51,-1.06,3.27,7.95,-1.59,-2.34
192701,-3.66,-0.16,-99.99,0.57,-0.35,1.73,1.88,1.21,4.08,-1.06,-99.99,5.45,4.93,0.23,-99.99,-1.49,-1.85,-3.55,-0.39,-99.99,1.19,-1.02,-0.81,-2.29,-0.59,-99.99,-99.99,4.17,-3.06,1.67,-1.79,1.88,-99.99,5.84,0.73,-99.99,1.48,-3.01,-99.99,-2.6,1.41,-17.93,-2.7,1.52,-5.37,-0.82,-1.56,-3.02,-3.96
192702,7.65,3.66,-99.99,12.83,1.49,-6.12,2.43,10.31,4.57,2.77,-99.99,5.19,0.68,9.69,-99.99,7.66,4.07,8.01,3.67,-99.99,7.85,4.3,9.56,-3.91,4.72,-99.99,-99.99,5.2,5.64,1.13,4.53,3.97,-99.99,5.86,6.82,-99.99,5.82,3.68,-99.99,5.46,5.17,3.49,3.47,6.86,8.3,0.66,4.3,1.98,0.28
192703,-0.6,2.74,-99.99,-13.56,5.51,-8.89,1.93,-7.83,-0.08,0.9,-99.99,1.25,0.93,6.07,-99.99,-5.38,3.42,5.04,1.48,-99.99,-2.24,0.4,1.56,0,-1.78,-99.99,-99.99,4.44,5.45,-7.01,0.37,5.56,-99.99,-3.99,5.94,-99.99,-12.3,6.26,-99.99,-9.67,1.02,-20.47,-0.3,-2.42,-7.96,7.34,-4.3,-1.45,2.18
192704,5.39,2.1,-99.99,2.85,4.01,-0.41,-4.05,3.77,1.44,5.95,-99.99,-0.37,3.69,2.95,-99.99,0.46,-0.73,-8.67,-0.34,-99.99,1.82,6.29,2.91,-11.48,-0.61,-99.99,-99.99,3.02,0.95,-5.78,1.71,-2.13,-99.99,0.75,4.73,-99.99,8.82,1.43,-99.99,4.93,0.72,-10.75,4.38,5.92,-5.99,3.09,0.68,8.17,5.27
192705,4.12,6.62,-99.99,11.62,11.8,-4.9,0.61,-1.48,10.54,3.37,-99.99,5.88,3.6,3.85,-99.99,13.21,7.99,-10.44,3.22,-99.99,8.74,8.23,5.54,31.94,10.78,-99.99,-99.99,0.25,3.19,5,9.21,3.35,-99.99,16.77,5.58,-99.99,-0.14,5.63,-99.99,5.36,7.01,-4.01,2.24,4.7,8.69,12.58,4.33,10.56,1.64
192706,-3.4,-1.94,-99.99,10.05,-2.3,-3.52,-8.08,-6,-3.03,1.17,-99.99,3.68,-0.39,-1.72,-99.99,2.29,-4.49,-13.78,-3.42,-99.99,-2.29,3.47,-3.37,14.49,-4.16,-99.99,-99.99,-1.93,-3.35,-3.14,-3.57,-2.14,-99.99,1.41,-1.93,-99.99,2,5.41,-99.99,5.44,-2.04,-4.18,-0.7,1.31,-10.47,0.84,3.59,0.05,-3.82
192707,6.05,4.83,-99.99,4.59,4.39,2.64,0.93,-0.53,5.5,6.01,-99.99,11.44,9.33,17.69,-99.99,4.35,6.9,-0.8,10.33,-99.99,9.61,14.69,13.71,-2.78,12.22,-99.99,-99.99,8.72,2.19,2.91,5.31,3.73,1.79,2.37,2.53,-99.99,14.15,6.89,-99.99,12.02,5.98,11.11,10.11,4.68,3.34,13.37,3.91,0.76,6.81
192708,1.99,2.4,-99.99,-3.98,3.83,7.38,6.04,0.66,0.52,1.56,-99.99,-2.24,1.09,2.1,-99.99,0.49,-1.11,-2.11,3.97,-99.99,0.9,7.06,7.32,30.16,3.62,-99.99,-99.99,0.97,2.43,-0.26,3.43,0.43,2.86,7.99,9.68,-99.99,-11.47,0.75,-99.99,3.76,-1.66,-2.58,7.68,0.55,5.04,0.11,2.01,3.07,5.92
192709,7.33,5.77,-99.99,7.01,4.63,0.38,4.72,1.14,2.53,4.65,-99.99,8.71,4.7,5.97,-99.99,1.89,4.95,-0.97,3.77,-99.99,5.3,0.11,6.28,17.65,3.49,-99.99,-99.99,6.83,1.46,3.5,8.29,6.53,-1.39,7.18,4.93,-99.99,9.71,3.01,-99.99,3.37,4.31,5.6,7.61,5.94,4.55,8.16,-0.22,6.44,0.43
192710,-5.8,-1.75,-99.99,-0.8,-0.32,-1.27,0.47,-3.34,-1.84,9.65,-99.99,2.04,6.11,-7.46,-99.99,-2.39,-4.83,-0.12,-7.82,-99.99,-5.21,-8.22,-4.55,-18.33,-6.49,-99.99,-99.99,-3.17,-5.33,-1.73,-4.34,-2.09,2.82,4.57,0.43,-99.99,-3.35,-7.6,-99.99,0.14,-4.61,-21.78,-5.03,-1.75,2.61,10.75,-4.24,-0.53,-3.62
192711,6.51,7.31,-99.99,10.29,6.69,-3.4,4.52,8.27,2.73,2.06,-99.99,1.19,4.45,9.04,-99.99,5.11,6.01,-1.3,12.44,-99.99,11.5,11.38,6.77,19.39,7.95,-99.99,-99.99,8.24,7.48,3.87,6.32,2.83,-4.45,9.74,6.28,-99.99,25.06,8.86,-99.99,16.87,3.9,-1.3,12.11,3.01,11.7,7.09,9.68,7.46,11.19
192712,-0.82,4.42,-99.99,12.72,1.03,-7.83,4.12,3.95,10.31,-0.15,-99.99,-0.2,-0.54,-0.23,-99.99,2.41,-0.44,7.64,5.84,-99.99,2.92,1.19,7.67,40.56,2.05,-99.99,-99.99,13.43,-3.33,1.28,2.24,1.33,-5.11,-3.3,11.22,-99.99,-4.69,-3.42,-99.99,1.04,0.07,11.45,-0.66,-1.56,10.47,20.44,0.97,2.78,1.07
192801,-1.89,3.4,-99.99,0.62,-2.56,-1.56,-0.24,2.91,3.67,7.07,-99.99,3.34,2.5,-1.08,-99.99,-1.1,1.39,8.29,-2.42,-99.99,-1.24,-1.01,-3.15,1.53,4.26,-99.99,-99.99,-1.66,-3.79,-1.69,5.87,0.3,0,2.86,3.6,-99.99,-0.64,-0.11,-99.99,1.51,-1.26,-0.95,-0.85,-1.58,-2.29,-0.78,1.67,6.04,-3.38
192802,0.43,-3.58,-99.99,-5.22,-5.97,-6.73,-0.26,-0.46,-0.01,-2.45,-99.99,-1.82,-1.25,0.73,-99.99,-4.77,1.47,3.03,-2.72,-99.99,-2.76,-1.46,0.94,-9.77,-4.47,-99.99,-99.99,-7.59,-1.33,-0.12,-0.68,-0.3,-5.38,-1.67,3.19,-99.99,-0.3,1.6,-99.99,0.86,-1.37,-8.29,-1.04,-2.59,-2.9,-1.65,1.96,-6.63,-2.68
192803,1.71,5.77,-99.99,14.47,2.34,35.16,6.18,9.99,9.99,3.99,-99.99,10.07,10.76,13.16,-99.99,7.63,6.8,3.77,6.16,-99.99,6.5,26.17,27.86,24.83,6.09,-99.99,-99.99,7.37,5.23,5.33,6.62,1.96,5.6,-0.36,0.94,-99.99,12.83,3.26,-99.99,11.08,5.73,8.12,8.69,3.47,22.61,7.69,2.44,12.13,8.85
192804,-0.28,3.24,-99.99,4.87,-5.95,-2.06,6.36,2.79,3.59,9.96,-99.99,5.67,0.81,-0.26,-99.99,-4.04,2.91,2.68,1.43,-99.99,3.48,2.44,1.09,61.83,0.59,-99.99,-99.99,-0.57,1.95,16.25,10.94,3.22,7.27,13.77,2.03,-99.99,-0.53,1.69,-99.99,-0.25,4.46,-5.85,-0.03,0.47,10.92,4.85,23.11,10.05,10.95
192805,-0.78,2.02,-99.99,5.48,-0.03,10.07,0.88,11.19,-2.52,-0.99,-99.99,4.95,11.39,2.98,-99.99,-6.11,-1.93,19.82,5.52,-99.99,4.79,1.76,5.9,19.93,-2.62,-99.99,-99.99,1.16,0.49,-5.72,1.51,6.61,-2.2,9.63,0.48,-99.99,4.32,6.15,-99.99,6.13,-0.44,7.95,3.44,14.12,-1.27,0.75,6.06,3.2,-0.8
192806,-2.13,-4.25,-99.99,-4.21,-4.3,-11.05,-4.29,-9.55,-6.67,-7.13,-99.99,-1.88,-3.74,-2.95,-99.99,-10.61,-3.77,-4.86,-5.84,-99.99,-3.19,-5.71,-4.07,-11.69,-5.52,-99.99,-99.99,-3.56,-6.08,-3.91,-3.43,-5.22,-8.02,-8.38,-2.59,-99.99,-5.02,-3.03,-99.99,-5.74,-3.86,-7.41,-3.4,-2.81,-1.92,-9.77,-4.41,-14.78,-11.95
192807,-0.29,1.27,-99.99,0.7,3.35,10.16,0.75,3.44,0.68,0.53,-99.99,-1.28,3.62,1.82,-99.99,-3.7,2.1,-2.71,2.74,-99.99,0.41,-1.01,1.28,5.54,-2.32,-99.99,-99.99,-1.24,-1.02,1.18,-1.24,-1.28,-4.15,-2.73,5.55,-99.99,6.12,5.04,-99.99,4.34,-0.33,0.35,5.72,-0.6,0.13,-0.47,-0.52,2.19,-0.8
192808,1.68,8.79,-99.99,12.4,3.79,1.87,10.27,-0.1,9.55,0.18,-99.99,8.35,16.56,8.89,-99.99,1.91,4.56,-0.32,9.63,-99.99,7.58,12.3,9.1,14.19,4.97,-99.99,-99.99,8.18,1.84,2.44,6.46,4.55,-9.73,13.15,5.81,-99.99,1.61,1.08,-99.99,12.69,4.03,4.06,13.69,12.37,4.94,5.86,4.85,4.71,12.78
192809,-0.9,2.12,-99.99,0.26,-0.39,20.69,10.1,1.2,10.47,-1.13,-99.99,7.06,-3.58,3.77,-99.99,3.57,5.5,-0.22,5.58,-99.99,3.82,0.27,8.22,5.99,-1.26,-99.99,-99.99,3.01,-1.06,5.74,3.76,0.15,2.94,-1.61,8.04,-99.99,3.58,-3.58,-99.99,-1.62,0.3,1.05,0.16,-0.02,5.48,-2.24,-1.3,2.2,-4.06
192810,4.73,-1.19,-99.99,4.04,3.44,-10.54,-0.24,5.28,8.15,-3.55,-99.99,-0.65,0.28,5.23,-99.99,5.96,6.04,1.92,6.51,-99.99,2.13,2.1,-0.04,-5.95,-0.65,-99.99,-99.99,3.42,-1.69,2.26,-1.89,2.97,-6.67,7.1,1.24,-99.99,1.46,0.98,-99.99,-5.47,-1.35,18.25,6.1,-2.19,4.13,3.64,-1.87,0.89,-5.21
192811,1.64,7.34,-99.99,5.7,6.79,7.77,10.64,3.99,16.58,2.56,-99.99,2.57,5.86,12.39,-99.99,9.09,9.58,0.71,14.9,-99.99,15.78,23.5,4.7,43.38,5.77,-99.99,-99.99,15.11,6.32,17.85,21.93,6.68,-3.57,9.02,11.31,-99.99,13.46,4.44,-99.99,5.1,9.27,11.95,15.52,9.51,10.79,7.7,6.57,13.19,3.77
192812,-1.28,0.82,-99.99,-3.84,-1.92,-7.1,-0.08,1.59,-3.63,-0.38,-99.99,-1.73,0.01,2.33,-99.99,-5.87,1.07,1.97,3.84,-99.99,3.3,7.03,-0.02,0.53,1.47,-99.99,-99.99,1.96,-0.58,-4.55,1.57,-0.38,-9.78,-4.15,17.59,-99.99,3.35,-1.61,-99.99,1.71,0.21,-3.85,-1.24,-3.1,1.99,-0.41,-0.31,2.24,-12.59
192901,11.79,2.34,-99.99,9.46,3.79,4.52,10.75,4.17,6.63,-1.88,-99.99,4.6,3.05,22.88,-99.99,-1.22,8.14,0.87,7.78,-99.99,12.18,12.79,0.96,1.72,0.73,-99.99,-99.99,8.48,1.75,-8.09,13.17,13.38,-12.65,0.75,3.09,-99.99,12.54,0.55,-99.99,5.58,4.72,-4.95,-3.97,-0.12,16.03,2.39,15.59,3,1.21
192902,6.42,-2.89,-99.99,-4.06,-4.64,-6.03,1.73,-5.59,-6.92,-4.08,-99.99,2.37,-0.71,-0.19,-99.99,2.35,-3.74,9.1,8.83,-99.99,1.2,-1.31,0.42,2.01,0.73,-99.99,-99.99,8.43,0.89,-0.16,-1.99,-1.15,7.59,4.02,1.64,-99.99,-0.14,1.56,-99.99,6.22,-1.43,-3.19,-2.49,0.16,3.98,-5.25,5.7,2.33,-6.18
192903,-10.99,-3.65,-99.99,-2.9,-4.19,-7.72,-9.99,-5.91,-7.65,-5.32,-99.99,1.4,-2.47,-3.37,-99.99,-7.27,-6.33,-0.19,-0.07,-99.99,-4.2,5.25,-1.34,-6.98,2.08,-99.99,-99.99,4.1,-6.52,12.07,-3.17,4.29,-12.82,-4.8,6.69,-99.99,-0.93,-3.18,-99.99,1.52,-2.83,-9.57,-5.13,-3.53,1.41,-4.58,-3.64,0.18,-7.41
192904,-6.44,5.24,-99.99,13.63,-2.41,-2.85,0.93,-0.63,0.56,3.62,-99.99,1.64,1.43,3.76,-99.99,2.74,3.24,17.63,1.15,-99.99,4.23,1.06,-1.23,6.95,-1.48,-99.99,-99.99,-5.86,-2.17,0.89,5.13,3.39,-2.94,3.13,7,-99.99,5.44,0.42,-99.99,7.91,1.33,3.58,3.56,10.37,-0.46,1.4,3.33,-0.12,-10.73
192905,-6.68,-4.88,-99.99,-11,-0.21,-16.79,-7.44,6.81,-10.37,-6.54,-99.99,-10.09,-7.06,-7.02,-99.99,-13.86,-6.91,-6.38,-12.41,-99.99,-9.66,0.83,-15.16,-12.99,-6.74,-99.99,-99.99,-10.99,-4.98,-5.6,4.8,-8.77,-12.88,-4.91,0.18,-99.99,-1.45,-3.48,-99.99,-8.17,2.5,-6.54,-8.85,-2.9,-3.13,-2.29,-8.33,-2.51,-13.21
192906,-2.06,9.48,-99.99,12.51,-0.13,5.83,5.91,7.06,14.71,5.63,-99.99,9.93,2.71,19.98,-99.99,2.5,7.82,3.49,10.71,-99.99,15.25,19.23,6.86,14.3,10.13,-99.99,-99.99,2.42,2.18,1.09,23.47,13.7,21.74,14.88,13.18,-99.99,7.8,5.83,-99.99,12.59,6.01,-2.97,9.21,19.11,6.57,0.67,6.45,12.45,5.08
192907,3.02,5.09,-99.99,1.61,2.05,-6.88,-1.8,-0.6,6.55,-3.99,-99.99,1.09,3.34,5.12,-99.99,-3.68,4.18,-2.57,3.47,-99.99,5.22,10.1,-3.92,6.56,3.89,-99.99,-99.99,-2.36,19.82,-0.86,9.14,13.68,28.57,1.68,6.34,-99.99,-2.43,6.82,-8.51,7.03,8.29,-3.01,1.06,1.83,0.53,10.65,-1.24,14.03,4.49
192908,1.3,4.46,-99.99,9.79,8.29,-2.32,6.88,0.16,3.52,0.97,-99.99,-1.86,5.5,11.82,-99.99,0.26,3,0.49,11.82,-99.99,10.62,13.38,2.03,-1.51,4.39,-99.99,-99.99,8.92,5.26,11.74,9.05,10.98,-10.56,0.32,6.98,-99.99,-3.66,15.12,10.7,9.43,8.32,-5.79,8.15,4.71,7.71,11.68,7.02,2.83,-2.99
192909,1.23,-2.64,-99.99,-2.26,-7.62,1.42,-1.86,-1.09,6.79,-4.11,-99.99,-6.31,-7.35,-6.79,-99.99,-3.25,-3.07,-1.44,-8.96,-99.99,-5.76,-11.47,-8.98,-23.2,0,-99.99,-99.99,-4.79,-2.05,-3.01,1.32,-1.37,-2.48,20.87,16.79,-99.99,-8.67,3.03,-7.56,-4.55,-7.71,-0.66,-5.62,-3.21,-4.04,-9.51,-6.48,-4.54,-0.18
192910,-0.67,-16,-99.99,-26.26,2.32,-17.58,-17.33,-8.89,-32.46,-9.33,-99.99,-15.64,-19.1,-24.67,-99.99,-21.32,-17.25,-8.37,-15.5,-99.99,-22.42,-30.2,-28.11,-40.34,-12.3,-99.99,-99.99,-13.02,-6.64,-10.27,-30.04,-15.39,-28.66,-16.61,-27.2,-99.99,-15.44,-5.66,-18.18,-14.8,-8.01,-23.2,-24.13,-19.59,-33.29,-22.04,-9.7,-35.43,-32.63
192911,-7.36,-9.79,-99.99,-11.85,-6.2,-23.1,-17.64,0.16,-14.73,-10.24,-99.99,-8.19,-7.77,-16.04,-99.99,-15.81,-10.93,-2.01,-13.83,-99.99,-13.97,-18.35,-17.63,-30,-3.63,-99.99,-99.99,-15,-4.77,-6.52,-14.64,-9.47,-39.29,-12.09,-28.15,-99.99,-14.91,-15.11,-15.56,-14.19,-7.86,-6.67,-12.48,-10.28,-22.57,-17.76,4.45,-17.41,-15.3
192912,-4.88,0.47,-99.99,2.03,2.72,-5.31,-8.93,0.83,1.13,3.7,-99.99,0.62,1.34,6.35,-99.99,-6.26,-1.72,9.96,-0.45,-99.99,3.26,12.8,3.97,14.5,0.36,-99.99,-99.99,-1.7,-5.55,-0.91,7.94,1.01,0,-2.53,8.13,-99.99,-5.79,1.43,-3.95,-0.26,0.01,-0.81,-6.48,3.67,1.58,-4.23,-7.82,4.27,-8.66
193001,-0.86,5.74,-99.99,-8.61,8.56,-12.76,31.06,1.74,10.32,3.68,-99.99,4.49,1.64,8.17,-99.99,10.5,7.48,0.3,5.69,-99.99,8.43,10.95,6.38,0.98,2.8,-99.99,-99.99,6.09,0.33,-0.82,7.25,1.2,26.47,-30.49,9.43,-99.99,11.3,9.15,50,7.09,3.85,3.11,4.41,11.73,19.98,15.74,1.96,8.99,31.78
193002,-9.43,0.92,-99.99,1.15,5.52,21.21,16.99,5.66,-8.89,-0.32,-99.99,7.18,1.22,2.46,-99.99,5.7,0.34,7.36,0.09,-99.99,4.73,7.83,3.61,24.61,1.16,-99.99,-99.99,-0.94,4.52,-5.04,8.57,7.06,-25.58,36.22,4.09,-99.99,-1.25,12.65,-7.76,8.6,2.07,-4.62,-5.35,0.15,9.85,2.57,-4.46,10.41,-1.97
193003,-0.32,1.13,-99.99,-8.27,4.3,27.54,15.29,2.24,-0.19,7.3,-99.99,5.8,6.06,10.3,-99.99,-2.56,3.61,2.16,5.54,-99.99,5.21,9.13,12.68,28.05,-1.7,-99.99,-99.99,1.75,0.95,19.08,9.72,8.79,-1.56,6.12,0.27,-99.99,3.17,9.25,7.67,6.12,3.92,-4.91,-2.74,4.92,4.6,11.01,7.1,9.24,6.26
193004,3.92,3.16,-99.99,-11.33,-2.88,-21.63,6.25,2.18,-1.53,-1.13,-99.99,-9.23,1.67,-5.31,-99.99,-9.88,-5.97,8.16,-13.38,-99.99,6.24,2.97,-8.62,-5.48,-7.01,-99.99,-99.99,-13.56,-8.4,7.4,3.34,-4.52,33.33,-2.15,-6.64,-99.99,-21.4,5.4,-21.61,-2.51,-7.15,4.67,2.58,2.44,-9.1,-9.54,-2.93,-1.53,-3.24
193005,-3.09,2.31,-99.99,-0.45,1.86,-0.43,-3.69,-0.9,-7.45,-4.2,-99.99,-5.28,-0.24,-2.34,-99.99,-5.77,-1.49,1.43,0.19,-99.99,-5.68,-4.9,5.04,-8.35,-4.55,-99.99,-99.99,5.4,-2.02,-3.81,-1.33,0.4,-15.48,-8.99,-1.08,-99.99,-11.6,-2.81,-21.11,0.32,-0.44,-8.21,0.07,-1.86,-6.23,-4.14,-2.18,-7.29,-8.15
193006,-4.76,-12.14,-99.99,-29.19,-8.86,-17.01,-23.43,-10.55,-24.57,-12.4,-99.99,-14.78,-12.81,-17.73,-99.99,-18.26,-19.25,-4.14,-13.23,-99.99,-17.07,-20.07,-22.65,-28.42,-13.02,-99.99,-99.99,-7.97,-11.55,-15.67,-19.06,-8.34,-32.39,-10.33,-20.07,-99.99,-32.07,-15.94,-62.08,-16.49,-9.84,-24.1,-16.08,-17.26,-20.55,-13.24,-18.31,-25.53,-18.05
193007,1.17,3.41,-99.99,1.74,2.93,13.21,2.43,1.59,5.84,3.23,-99.99,12.63,4.97,5.45,14.16,5.4,8.53,4.26,3.41,-99.99,3.04,3.99,11.81,7.36,3.54,-99.99,-99.99,3.64,-1.46,5.5,4.06,1.27,10.42,6.63,3.51,-99.99,20.14,3.47,9.8,7.5,3.24,-1.26,2.78,2.79,6.7,4.25,-0.82,5.42,5.67
193008,1.24,1.66,-99.99,9.24,4.62,6,3.62,-3.13,0.63,-2.89,-99.99,1.21,9.48,4.35,-4.06,-1.45,-2.5,-3.24,-2.46,-99.99,0.97,1.63,-2.24,-0.78,0.91,-99.99,-99.99,-13.14,2.4,-3.47,1.18,1.74,-5.66,3.94,3.45,-99.99,-3.59,6.23,3.57,-1.46,0.32,-7.71,5.42,1.75,0.81,-0.83,-7.77,4.01,0.86
193009,-11.55,-9.9,-99.99,-12.28,-8.78,-10.17,-18.53,-0.65,-10.53,-3.37,-99.99,-6.33,-9.3,-14.12,-28.8,-13.01,-16.7,-11.2,-11.84,-99.99,-16.59,-20.05,-16.42,-30.44,-11.15,-99.99,-99.99,-9.27,-5.88,-15.94,-11.92,-5.27,4,-10.56,-10.99,-99.99,-17.74,-11.15,-27.59,-12.74,-8.38,-9.65,-10.8,-13.98,-12.36,-11.78,-15.31,-21.32,-12.81
193010,-16.08,-3.91,-99.99,-1.24,-4.74,-4.56,-9.02,-5.86,-4.62,-5.19,-99.99,-2.28,-4.91,-12.32,-10.11,-3.71,-12.85,-21.42,-8.95,-99.99,-10.66,-18.64,-11.22,-17.03,-9.58,-99.99,-99.99,-10.59,-11.45,-8.19,-8.28,-4.12,-13.46,-5.07,-14.58,-99.99,-10,-12.04,-13.1,-3.05,-6.74,-6,-8.58,-10.38,-3.74,-10.44,-16.54,-18.44,-16.58
193011,2.7,0.91,-99.99,3.54,-0.93,-8.13,-6.37,-2.61,-1.84,1.51,-99.99,-5.21,-2.7,0.1,10.75,-4.35,-2.07,-6.86,-1.3,-99.99,-0.73,-3.61,5.91,-5.81,7.1,-99.99,-99.99,4.53,-9.62,-3.4,-8.74,-3.27,7.78,-5.71,-4.1,-99.99,7.52,-1.6,-15.07,0.3,-5.43,2.75,2.97,-2.46,-7.22,-1.68,-10.22,-10.64,-1.52
193012,-22.1,-3.44,-99.99,-11.58,-3.11,-3.64,-15.67,-5.56,-6.15,-7.47,-99.99,-2.32,-7.96,-4.7,-16.28,-6.14,-12.25,-12.19,-8.76,-99.99,-9.54,-12.03,-1.58,-18.03,-13.56,-99.99,-99.99,-8.32,-8.83,-12.49,-3.69,-3.8,-13.4,-0.68,0.65,-99.99,-12.18,-11.98,-24.19,-5.74,-7.9,-3.94,-13.86,-8.17,2.86,-10.26,-17.7,-14.86,-11.77
